id,name,pack,type,rarity,image_id,cost,description,,,,,
1,不屈のファイター,0,0,0,10001110,2,【エンハンス_4】これは+3/+3する。,,,,,
2,ベルエンジェル・リア,0,0,0,10001120,2,"【守護】
【ラストワード】自分のデッキから1枚を引く。
【進化時】自分のデッキから1枚を引く。",,,,,
3,探偵のルーペ,0,0,0,10001210,2,【アクト】これを破壊。相手の場のフォロワー1枚を選ぶ。それは【守護】を失う。,,,,,
4,煌響の使者・アンリエット,0,0,1,10002110,3,"【進化時】自分のリーダーを2回復。
【超進化時】2回復ではなく4回復。",,,,,
5,冒険者のギルド,0,0,1,10002210,3,"【ファンファーレ】自分のデッキからフォロワー1枚を引く。
【アクト】これを破壊。自分の場のフォロワー1枚を選ぶ。それは【突進】を持つ。",,,,,
6,激震のゴリアテ,0,0,0,10001130,4,【守護】,,,,,
7,キャラバンマンモス,0,0,1,10002120,7,,,,,,
8,アドベンチャーエルフ・メイ,0,1,1,10012110,1,【ファンファーレ】【コンボ_3】相手の場のフォロワー1枚を選ぶ。それに3ダメージ。,,,,,
9,虫の知らせ,0,1,1,10012310,1,自分の場のカード1枚を選ぶ。それを手札に戻す。相手の場のフォロワーからランダム1枚に2ダメージ。,,,,,
10,フェアリーテイマー,0,1,0,10011110,2,【ファンファーレ】『フェアリー』2枚を自分の手札に加える。,,,,,
11,ストレイビーストマン,0,1,0,10011120,2,【ファンファーレ】自分の【コンボ】を+1する。,,,,,
12,繚乱の庭,0,1,0,10011210,2,"【ファンファーレ】『フェアリー』1枚を自分の手札に加える。
【カウントダウン_2】
自分の妖精・フォロワーが場に出たとき、相手の場のフォロワーからランダム1枚に1ダメージ。",,,,,
13,温厚なるトレント,0,1,0,10011130,4,"【ファンファーレ】【コンボ_3】これは進化する。
【攻撃時】自分のリーダーを2回復。",,,,,
14,ソニックアーチャー・セルウィン,0,1,1,10012120,7,"【疾走】
【超進化時】相手の場のフォロワー1枚を選ぶ。それを手札に戻す。",,,,,
15,刹那のクイックブレイダー,0,2,0,10021110,1,【疾走】,,,,,
16,王家の御者,0,2,1,10022110,2,【ラストワード】『ナイト』1枚を自分の場に出す。,,,,,
17,メイドの作法,0,2,0,10021310,2,自分の手札1枚を選ぶ。それをデッキに戻す。自分のデッキからロイヤル・フォロワー2枚を引く。,,,,,
18,魔弾のトリックスター・ラスティ,0,2,1,10022120,3,【超進化時】自分のデッキから『魔煌のトリックスター・ラスティ』すべてを引く。それは【疾走】を持つ。,,,,,
19,バトルマーチャント,0,2,0,10021120,4,"【突進】
【ラストワード】自分のデッキから1枚を引く。",,,,,
20,正統なる王冠,0,2,1,10022210,4,"【カウントダウン_4】
自分のフォロワーが場に出たとき、それは+1/+1する。",,,,,
21,ケンタウルスの騎士,0,2,0,10021130,8,【疾走】,,,,,
22,知恵の輝き,0,3,0,10031310,1,自分のデッキから1枚を引く。,,,,,
23,魔女の錬金釜,0,3,0,10031210,1,"【ファンファーレ】自分のデッキから1枚を引く。
【土の印】
コスト1【アクト】自分の場の土の印を+1する。",,,,,
24,真理の召喚,0,3,0,10031320,2,『クレイゴーレム』1枚を自分の場に出す。,,,,,
25,閃光の魔法剣士,0,3,0,10031110,3,"【ファンファーレ】【モード】1つを選んでその能力が働く。
（1）自分の手札すべては2回スペルブーストする。
（2）【土の秘術_1】これは+2/+2して【守護】を持つ。",,,,,
